code_canonique;statut_existence_2026_2027;source_fichier;source_feuille;statut_preparation_documentaire
DSP15;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP16;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP17;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP18;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP19;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP20;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP21;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP22;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP23;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
DSP24;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
SP1;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
SP2;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
SP3;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
SP4;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
SP5;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
SP6;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
SP7;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
SP8;VALIDE_2026_2027;PROD_REF_001E8_SYNTHESE_FINALE_SALLES_2026_2027_20260911_203416.xlsx;01_SALLES_38;CANDIDAT_EXISTENCE_SALLE_SEULEMENT
